Yannick Carrasco
Memphis Depay
Sergej Milinkovic-Savic
Theo Hernández
Florian Wirtz
Alexander Isak
Rodrygo Silva de Goes
Arturo Vidal
Nabil Fekir
Roberto Firmino
Serge Gnabry
Matthias Ginter
Josip Ilicic
Seko Fofana
Youri Tielemans
Filip Kostic
Dušan Tadic
David Alaba
Péter Gulácsi
Ousmane Dembélé
Sebastián Coates
Pedro Rodríguez Ledesma
Phil Foden
Joaquín Correa
Marcel Sabitzer
Memphis Depay
Mikel Oyarzabal Ugarte
Raphaël Varane
Dayot Upamecano
Giorgio Chiellini
Gabriel Jesus
